"teaching_number","title","date","year"
"469","A TIME TO CAST AWAY STONES","May. 14, 1982","1982"
"470","MYSTICAL EVENTS","May. 17, 1982","1982"
"471","FRIENDSHIP","May. 19, 1982","1982"
"472","LESSONS FROM MARCO POLO","May. 20, 1982","1982"
"473","DEVAS","May. 23, 1982","1982"
"474","SECURITY","May. 24, 1982","1982"
"475","IN THE MATTER OF MATTHEW","May. 30, 1982","1982"
"476","THE PRESENCE OF THE HOLY SPIRIT","May. 31, 1982","1982"
"477","ILLNESS","Jun. 03, 1982","1982"
"478","HEALTH","Jun. 05, 1982","1982"
"479","MENTAL ILLNESS","Jun. 09, 1982","1982"
"480","HIGH BLOOD PRESSURE","Jun. 12, 1982","1982"
"481","THE WOMAN…","Jun. 13, 1982","1982"
"482","A TIME TO WRITE","Jun. 19, 1982","1982"
"483","A TIME TO WEEP AND A TIME TO LAUGH","Jun. 23, 1982","1982"
"484","CONSCIOUSNESS","Jun. 27, 1982","1982"
"485","FUNDAMENTALS","Jul. 02, 1982","1982"
"486","LISTENING BUT NOT HEARING","Jul. 03, 1982","1982"
"487","EXPERIENCES WITH SPIRIT","Jul. 04, 1982","1982"
"488","SCIENTIFIC STUDY OF MY WORLD","Jul. 05, 1982","1982"
"489","ALCOHOL AND SEXUALITY","Jul. 06, 1982","1982"
"490","A TIME TO EMBRACE…","Jul. 07, 1982","1982"
"491","PLAY","Jul. 08, 1982","1982"
"492","A REPRISE ON PLAY","Jul. 09, 1982","1982"
"493","SONGS AND SPIRIT","Jul. 12, 1982","1982"
"494","REUNION","Jul. 17, 1982","1982"
"495","A TIME TO REND AND A TIME TO SEW","Jul. 18, 1982","1982"
"496","TODAY’S RHYTHM","Jul. 23, 1982","1982"
"497","A UNIQUE SUNDAY","Jul. 25, 1982","1982"
"498","A NEW REFORMATION","Jul. 30, 1982","1982"
"499","A “NEW” LIFE","Aug. 01, 1982","1982"
"500","FREE ENTERPRISE","Aug. 02, 1982","1982"
"501","MOBILITY","Aug. 04, 1982","1982"
"502","A TIME FOR PEOPLE AND A TIME FOR…","Aug. 07, 1982","1982"
"503","ON SPIRITUAL MATURITY","Aug. 08, 1982","1982"
"504","ADAM AND EVE AND THE GARDEN","Aug. 09, 1982","1982"
"505","LIFE HAS ITS HILLS AND VALLEYS…","Aug. 16, 1982","1982"
"506","FUNDAMENTAL CHRISTIANITY","Aug. 17, 1982","1982"
"507","HERE IN HAWAII…","Aug. 18, 1982","1982"
"508","VOCATIONS","Aug. 19, 1982","1982"
"509","ALCOHOL AND HEALTH","Aug. 21, 1982","1982"
"510","REFLECTIONS ON A VACATION","Aug. 23, 1982","1982"
"511","A SHARING OF STORIES","Aug. 25, 1982","1982"
"512","THE RHYTHM OF LIFE","Aug. 29, 1982","1982"
"513","MY GRACE I GIVE TO YOU","Sep. 01, 1982","1982"
"514","MODERN LIFE","Sep. 04, 1982","1982"
"515","ONE SIDED","Sep. 06, 1982","1982"
"516","THE WONDERFUL HEALING PROCESS","Sep. 10, 1982","1982"
"517","INVESTMENT OF LIFE","Sep. 11, 1982","1982"
"518","ADAM AND EVE, CONTINUED","Sep. 13, 1982","1982"
"519","MODERN MACHINERY","Sep. 15, 1982","1982"
"520","BEHAVIOR CHANGE","Sep. 17, 1982","1982"
"521","SOME COMMENTS ON METAPHOR","Sep. 19, 1982","1982"
"522","LIFE AS A PRE-ELDERLY","Sep. 24, 1982","1982"
"523","SUICIDE","Sep. 29, 1982","1982"
"524","COMMITMENT","Oct. 05, 1982","1982"
"525","DO DAYS “UNFOLD”?","Oct. 06, 1982","1982"
"526","NON-TRADITIONAL… HEALTH… SPIRIT","Oct. 07, 1982","1982"
"527","WELLNESS","Oct. 09, 1982","1982"
"528","ANOTHER RHYTHM","Oct. 10, 1982","1982"
"529","THE CONGLOMERATE THAT IS HEALTH CARE","Oct. 11, 1982","1982"
"530","LIFE IN MANY FORMS","Oct. 12, 1982","1982"
"531","“THE THIRD WORLD”","Oct. 13, 1982","1982"
"532","SCRIPTURE, AGAIN","Oct. 14, 1982","1982"
"533","SPIRITUAL PATHWAYS","Oct. 16, 1982","1982"
"534","FAITH & FAITHFULNESS","Oct. 17, 1982","1982"
"535","IMPATIENCE","Oct. 18, 1982","1982"
"536","FAITHFULNESS","Oct. 22, 1982","1982"
"537","THE NEW REFORMATION, II","Oct. 24, 1982","1982"
"538","DARKNESS","Oct. 27, 1982","1982"
"539","SOME HERETICAL IDEAS","Oct. 28, 1982","1982"
"540","EXPECTATIONS","Oct. 31, 1982","1982"
"541","HEARING AS REVELATION","Nov. 01, 1982","1982"
"542","A GENTLE / VIOLENT MAN","Nov. 05, 1982","1982"
"543","HEALTH AND LIFE AFTER LIFE","Nov. 07, 1982","1982"
"544","THE EARTH IS THE LORD’S…","Nov. 08, 1982","1982"
"545","DEATH","Nov. 09, 1982","1982"
"546","A TIME TO LOVE AND A TIME TO HATE","Nov. 10, 1982","1982"
"547","A WAR NOT WON","Nov. 11, 1982","1982"
"548","SPIRIT IN THE WIND","Nov. 12, 1982","1982"
"549","APPRECIATION","Nov. 13, 1982","1982"
"550","BEHAVIOR CHANGE, II","Nov. 18, 1982","1982"
"551","PERSONAL TEACHINGS","Nov. 21, 1982","1982"
"552","THE TEACHINGS AND THE RUMINATIONS","Nov. 24, 1982","1982"
"553","LOVE, THE BUILDER","Nov. 25, 1982","1982"
"554","LOVE, THE HEALER","Nov. 28, 1982","1982"
"555","THE MESSIAH AND THE LAW","Dec. 01, 1982","1982"
"556","TRUST THE PROCESS","Dec. 05, 1982","1982"
"557","THE LESSON FROM PETER","Dec. 08, 1982","1982"
"558","THE POWER OF THE WORD","Dec. 13, 1982","1982"
"559","LOVE IS THE WAY","Dec. 14, 1982","1982"
"560","A TIME FOR COURAGE","Dec. 18, 1982","1982"
"561","FOR EVERYTHING THERE IS A SEASON","Dec. 27, 1982","1982"
"562","A LESSON IN ECONOMICS","Dec. 28, 1982","1982"
"563","JOBLESSNESS","Dec. 30, 1982","1982"
"564","SOME NEW YEAR THOUGHTS","Jan. 02, 1983","1983"
"565","THE PANOPLY OF EXPERIENCES","Jan. 06, 1983","1983"
"566","SPIRITUAL HEALTH","Jan. 07, 1983","1983"
"567","THE SPIRITUAL DIMENSION, II","Jan. 08, 1983","1983"
"568","SONGS AND UNDERSTANDING","Jan. 09, 1983","1983"
"569","SPIRITUAL HEALTH III","Jan. 10, 1983","1983"
"570","SPIRITUAL HEALTH IN COMMUNITY","Jan. 11, 1983","1983"
"571","SHALOM","Jan. 13, 1983","1983"
"572","ATTENTION TO HOLINESS","Jan. 16, 1983","1983"
"573","SPIRITUAL ADAPTING","Jan. 21, 1983","1983"
"574","A TIME TO HEAR","Jan. 30, 1983","1983"
"575","THOSE WHO HEAR AND SEE","Feb. 03, 1983","1983"
"576","RELIGION AND HEALTH","Feb. 05, 1983","1983"
"577","RELIGION AND MEDICINE","Feb. 07, 1983","1983"
"578","JOHN’S GOSPEL","Feb. 11, 1983","1983"
"579","A NEW DAY","Feb. 19, 1983","1983"
"580","SPIRIT AND HEALTH","Feb. 20, 1983","1983"
"581","REBIRTH","Feb. 25, 1983","1983"
"582","GRACE AND WELFARE","Feb. 26, 1983","1983"
"583","TIMES OF PLENTY, TIMES OF WANT","Feb. 28, 1983","1983"
"584","THE POWER OF SCRIPTURE","Mar. 05, 1983","1983"
"585","LETTERS","Mar. 12, 1983","1983"
"586","HUMAN LIFE","Mar. 13, 1983","1983"
"587","INJUSTICE","Mar. 16, 1983","1983"
"588","MY THOUGHTS ON GANDHI","Mar. 20, 1983","1983"
"589","A CHRISTIAN ETHIC","Mar. 23, 1983","1983"
"590","WAITING","Mar. 25, 1983","1983"
"591","ENJOYMENT OF LIFE","Mar. 27, 1983","1983"
"592","MY EARTH","Mar. 30, 1983","1983"
"593","SKYHOOK","Apr. 01, 1983","1983"
"594","FOLLOW ME… STILL","Apr. 10, 1983","1983"
"595","REVELATION AND KNOWLEDGE","Apr. 11, 1983","1983"
"596","A COMMON LIFESTYLE","Apr. 17, 1983","1983"
"597","RELIGION AND LIFESTYLE","Apr. 20, 1983","1983"
"598","OLDEN TIMES","Apr. 24, 1983","1983"
"599","“THE SPIRIT WORLD”","May. 01, 1983","1983"
"600","OLD FRIENDS","May. 06, 1983","1983"
"601","A VARIED TIME","May. 09, 1983","1983"
"602","ANOTHER ANNIVERSARY","May. 11, 1983","1983"
"603","ORDINARY FOLKS","May. 13, 1983","1983"
"604","CONFIDENCE","May. 16, 1983","1983"
"605","PERSPECTIVES","May. 24, 1983","1983"
"606","NEW BEGINNINGS","May. 28, 1983","1983"
"607","THE MEANING OF SEASONS","Jun. 03, 1983","1983"
"608","FRIENDSHIP","Jun. 04, 1983","1983"
"609","A TIME OF WEDDING","Jun. 10, 1983","1983"
"610","DISTRESS","Jun. 19, 1983","1983"
"611","THE OPPORTUNITIES OF LIFE","Jun. 22, 1983","1983"
"612","THE COURAGE TO BE","Jun. 24, 1983","1983"
"613","BUSYNESS","Jun. 28, 1983","1983"
"614","THE HOLY SPIRIT","Jul. 03, 1983","1983"
"615","MABEL AND YOU","Jul. 08, 1983","1983"
"616","SABBATICAL","Jul. 10, 1983","1983"
"617","REFLECTIONS ON A DISABILITY","Jul. 17, 1983","1983"
"618","DEATH… INDEED!","Jul. 23, 1983","1983"
"619","OTHER SOURCES","Jul. 24, 1983","1983"
"620","DEATH AND THE LIFE UNDERLYING","Aug. 01, 1983","1983"
"621","TRAGEDY IN THE MIDST","Aug. 03, 1983","1983"
"622","LEARNING FROM LIFE","Aug. 07, 1983","1983"
"623","AMAZING GRACE","Aug. 12, 1983","1983"
"624","DREAMS","Aug. 14, 1983","1983"
"625","REASONABLE DOUBT","Aug. 18, 1983","1983"
"626","AN ORTHODOX TEACHING","Aug. 21, 1983","1983"
"627","THE CLAN AND THE VALLEY","Aug. 24, 1983","1983"
"628","THE CLAN AND THE VALLEY II","Aug. 26, 1983","1983"
"629","A WAY OF KNOWING","Aug. 30, 1983","1983"
"630","POSITIVE HEALTH, AGAIN","Aug. 31, 1983","1983"
"631","A NEW CHURCH EXPERIENCE","Sep. 05, 1983","1983"
"632","TEACHINGS FROM AN OLD FRIEND","Sep. 11, 1983","1983"
"633","THE FALL SEASON","Sep. 13, 1983","1983"
"634","DATA COLLECTION","Sep. 14, 1983","1983"
"635","SCRIPTURE","Sep. 17, 1983","1983"
"636","PROPHESY","Sep. 25, 1983","1983"
"637","DOCTRINE","Sep. 26, 1983","1983"
"638","MEDITATION","Oct. 01, 1983","1983"
"639","STRESS AND SPIRIT","Oct. 02, 1983","1983"
"640","JOHN BAKER","Oct. 07, 1983","1983"
"641","HOLY SPIRIT AS ADMINISTRATOR","Oct. 08, 1983","1983"
"642","MIND AND SPIRIT","Oct. 09, 1983","1983"
"643","DIMENSIONS OF LOVE","Oct. 10, 1983","1983"
"644","PROFESSIONAL BUSINESS","Oct. 13, 1983","1983"
"645","HERE, TODAY","Oct. 14, 1983","1983"
"646","BACKWARDNESS","Oct. 16, 1983","1983"
"647","THE CRUNCH","Oct. 18, 1983","1983"
"648","SCIENCE AND SPIRIT","Oct. 19, 1983","1983"
"649","A CHATTERING MIND","Oct. 21, 1983","1983"
"650","CIRCULATION","Oct. 22, 1983","1983"
"651","THE CROSS","Oct. 23, 1983","1983"
"652","IN THE MIDST OF TIME","Oct. 25, 1983","1983"
"653","A CONFIRMATION","Oct. 27, 1983","1983"
"654","ON BEING AND BECOMING","Oct. 28, 1983","1983"
"655","GRACE AND MY SERMON","Oct. 31, 1983","1983"
"656","PAIN MANAGEMENT","Nov. 05, 1983","1983"
"657","ATONEMENT AND AT-ONEMENT","Nov. 07, 1983","1983"
"658","LIFE’S OPPORTUNITIES","Nov. 12, 1983","1983"
"659","CONVENTION MUSINGS","Nov. 14, 1983","1983"
"660","SPIRIT AND THE PROFESSION","Nov. 15, 1983","1983"
"661","A CALL FOR HELP","Nov. 19, 1983","1983"
"662","YOUR SABBATICAL EXPERIENCE","Nov. 22, 1983","1983"
"663","THANKSGIVING","Nov. 24, 1983","1983"
"664","THE SIMPLICITY OF LIFE","Nov. 27, 1983","1983"
"665","SOMETHING ABOUT RUMINATIONS","Dec. 02, 1983","1983"
"666","FELLOWSHIP","Dec. 03, 1983","1983"
"667","THE FORM OF WORSHIP","Dec. 04, 1983","1983"
"668","BEING THE CHURCH","Dec. 05, 1983","1983"
"669","A CALL TO SPIRIT","Dec. 07, 1983","1983"
"670","EATING AS TEACHING","Dec. 09, 1983","1983"
"671","TELLING OF EXPERIENCE","Dec. 11, 1983","1983"
"672","FOR EVERTHING THERE IS A SEASON… AGAIN","Dec. 13, 1983","1983"
"673","A PERSPECTIVE ON DEATH","Dec. 16, 1983","1983"
"674","IDEALISM AND SPIRIT","Dec. 18, 1983","1983"
"675","WHERE AM I?","Dec. 20, 1983","1983"
"676","NEW YEAR MUSINGS","Jan. 01, 1984","1984"
"677","NEBRASKA","Jan. 04, 1984","1984"
"678","INFLUENCE","Jan. 07, 1984","1984"
"679","IN A TIME OF WINTER","Jan. 10, 1984","1984"
"680","TOTAL DEPRAVITY","Jan. 13, 1984","1984"
"681","“RECEIVE THE HOLY GHOST”","Jan. 15, 1984","1984"
"682","AMEN","Jan. 18, 1984","1984"
"683","CULTURE… WHAT DO I THINK ABOUT CULTURE?","Jan. 22, 1984","1984"
"684","THE FUTURE","Jan. 27, 1984","1984"
"685","REACTION TO CRITICISM","Feb. 04, 1984","1984"
"686","SAY IT AGAIN, SPIRIT!","Feb. 05, 1984","1984"
"687","EVERLASTING LIFE","Feb. 07, 1984","1984"
"688","BALANCING","Feb. 10, 1984","1984"
"689","SIMPLE LIFE","Feb. 13, 1984","1984"
"690","REFLECTIONS ON A DAY","Feb. 18, 1984","1984"
"691","MEDITATION","Feb. 19, 1984","1984"
"692","CHATTER, CHATTER!","Feb. 24, 1984","1984"
"693","LIKE AS A FATHER","Feb. 26, 1984","1984"
"694","THOSE WHO RESPOND","Feb. 28, 1984","1984"
"695","MY WILL","Mar. 03, 1984","1984"
"696","PRAY FOR PEACE","Mar. 06, 1984","1984"
"697","LOVE… AND… FEAR","Mar. 09, 1984","1984"
"698","INERRANT SCRIPTURE","Mar. 10, 1984","1984"
"699","WAITING FOR THE MASTER","Mar. 16, 1984","1984"
"700","LIFE’S CHANGES","Mar. 18, 1984","1984"
"701","ZEN PRESBYTERIAN","Mar. 21, 1984","1984"
"702","THE ROAD NOW TRAVELED","Mar. 27, 1984","1984"
"703","AN ORTHODOX LESSON","Mar. 30, 1984","1984"
"704","HURRYING TO BE","Mar. 31, 1984","1984"
"705","MISSION?  CLEARER","Apr. 01, 1984","1984"
"706","LOVING AS LIVING","Apr. 05, 1984","1984"
"707","AM I SERIOUS?","Apr. 08, 1984","1984"
"708","PLANTING","Apr. 12, 1984","1984"
"709","AM I A METHODIST?","Apr. 15, 1984","1984"
"710","LOVING AS SPIRIT","Apr. 25, 1984","1984"
"711","SPIRIT AS HEALTH","Apr. 28, 1984","1984"
"712","A DAY OF OPPORTUNITY","May. 03, 1984","1984"
"713","REASSURANCE","May. 05, 1984","1984"
"714","SERVANT / LEADER","May. 07, 1984","1984"
"715","ANNIVERSARY … PLUS ONE","May. 12, 1984","1984"
"716","CATCHING UP","May. 21, 1984","1984"
"717","THE SPRING OF LIFE","May. 25, 1984","1984"
"718","THE POWER OF THE WORD, AGAIN","May. 26, 1984","1984"
"719","TRAGIC AND COMIC","May. 27, 1984","1984"
"720","REALMS AND REALMS","May. 28, 1984","1984"
"721","A TIME TO… ?","May. 29, 1984","1984"
"722","PERSPECTIVE","Jun. 01, 1984","1984"
"723","DRINKING","Jun. 04, 1984","1984"
"724","KNOWING WHO YOU ARE","Jun. 06, 1984","1984"
"725","GRACE IS FUNDAMENTAL","Jun. 08, 1984","1984"
"726","AN OCEAN","Jun. 11, 1984","1984"
"727","THE UNIMPORTANCE OF WORK","Jun. 12, 1984","1984"
"728","A SINGING HEART","Jun. 14, 1984","1984"
"729","TEACHING ABOUT MOOD MODIFICATION","Jun. 15, 1984","1984"
"730","REFLECTIONS ON A JOURNEY","Jun. 18, 1984","1984"
"731","SEEMS LIKE OLD TIMES…","Jun. 23, 1984","1984"
"732","ADAM AND EVE, AGAIN","Jun. 26, 1984","1984"
"733","THREE PREMISES","Jun. 28, 1984","1984"
"734","… ALONG YOUR PATH","Jun. 29, 1984","1984"
"735","KEEPING A COMMITMENT","Jun. 30, 1984","1984"
"736","FUNERAL","Jul. 01, 1984","1984"
"737","IN THE MATTER OF FAITHFULNESS","Jul. 03, 1984","1984"
"738","TRUTH IS HERE","Jul. 06, 1984","1984"
"739","SERMONS","Jul. 08, 1984","1984"
"740","PATRIOTISM","Jul. 09, 1984","1984"
"741","DISTRESS","Jul. 13, 1984","1984"
"742","WRITE THOSE LETTERS!","Jul. 14, 1984","1984"
"743","LAUGHTER","Jul. 17, 1984","1984"
"744","PROVIDING FOR NEEDS","Jul. 20, 1984","1984"
"745","LIFE’S GOALS","Jul. 25, 1984","1984"
"746","A CLASS COMPLETED","Jul. 28, 1984","1984"
"747","SELFISHNESS","Jul. 29, 1984","1984"
"748","A TIME TO REST… THEN A TIME TO TEACH","Aug. 01, 1984","1984"
"749","THE OTHER SIDE","Aug. 04, 1984","1984"
"750","SEXISM","Aug. 06, 1984","1984"
"751","SUSPENDED","Aug. 09, 1984","1984"
"752","PHYSICAL ACTION","Aug. 12, 1984","1984"
"753","SPIRIT IN SOUNDS","Aug. 16, 1984","1984"
"754","I DO FORGIVE","Aug. 25, 1984","1984"
"755","RELIGION","Aug. 26, 1984","1984"
"756","COMPETITION","Aug. 31, 1984","1984"
"757","REINCARNATION… AGAIN","Sep. 01, 1984","1984"
"758","… IT’S THE SPIRIT WITH WHICH YOU DO IT","Sep. 03, 1984","1984"
"759","THERE IS A TIME TO LAUGH","Sep. 08, 1984","1984"
"760","REPLAY","Sep. 14, 1984","1984"
"761","DISCERNMENT","Sep. 15, 1984","1984"
"762","A REITERATION","Sep. 17, 1984","1984"
"763","STRENGTH TO BE","Sep. 22, 1984","1984"
"764","THE BRAIN","Sep. 24, 1984","1984"
"765","LOVE, YET AGAIN","Sep. 29, 1984","1984"
"766","RUNNING… AND… WAITING","Oct. 01, 1984","1984"
"767","EDUCATION AND CHRIST","Oct. 05, 1984","1984"
"768","WAITING FOR THE SPIRIT","Oct. 06, 1984","1984"
"769","IT’S ALL ABOUT SPIRIT","Oct. 10, 1984","1984"
"770","SPIRIT IN CHILDREN","Oct. 11, 1984","1984"
"771","THE JOY OF RELATIONSHIP","Oct. 12, 1984","1984"
"772","IN THE MATTER OF SPIRIT","Oct. 17, 1984","1984"
"773","… WHILE ON THE BANKS…","Oct. 20, 1984","1984"
"774","SATAN AND EVIL","Oct. 22, 1984","1984"
"775","DEATH… AND LIFE","Oct. 26, 1984","1984"
"776","OBSERVATIONS ON HUMOR","Nov. 01, 1984","1984"
"777","THEOLOGY","Nov. 03, 1984","1984"
"778","LIFESTYLE","Nov. 09, 1984","1984"
"779","WISE… OR SHARING?","Nov. 12, 1984","1984"
"780","SEEKING A BALANCE","Nov. 13, 1984","1984"
"781","CHILDREN, AGAIN","Nov. 14, 1984","1984"
"782","BEING A PROFESSIONAL / SERVANT","Nov. 16, 1984","1984"
"783","MINISTRIES","Nov. 17, 1984","1984"
"784","THANKSGIVING","Nov. 23, 1984","1984"
"785","DREAMS… AND REALITY","Nov. 28, 1984","1984"
"786","DIFFERENT EXPERIENCES","Dec. 01, 1984","1984"
"787","FREEDOM AND EQUALITY","Dec. 05, 1984","1984"
"788","ANGELS AND OTHER BEINGS","Dec. 09, 1984","1984"
"789","THE PRODIGAL SON","Dec. 12, 1984","1984"
"790","A SEASON OF VARIETY","Dec. 22, 1984","1984"
"791","POST-CHRISTMAS MUSINGS","Dec. 27, 1984","1984"
"792","SPIRITUAL MATTERS","Jan. 02, 1985","1985"
"793","CYNICISM","Jan. 03, 1985","1985"
"794","FAMILY","Jan. 04, 1985","1985"
"795","THE BURNING BUSH","Jan. 05, 1985","1985"
"796","THE IMPORTANCE OF SEASONS","Jan. 06, 1985","1985"
"797","SPIRIT IN HEALTH","Jan. 07, 1985","1985"
"798","BEING CALLED","Jan. 08, 1985","1985"
"799","BIBLE STORIES","Jan. 13, 1985","1985"
"800","STRENGTH","Jan. 16, 1985","1985"
"801","COLD","Jan. 19, 1985","1985"
"802","ABORTION","Jan. 23, 1985","1985"
"803","WHEN YOU CALL","Jan. 27, 1985","1985"
"804","STORIES","Feb. 06, 1985","1985"
"805","PAINS AND REMEDIES","Feb. 10, 1985","1985"
"806","HANDICAPS","Feb. 13, 1985","1985"
"807","A REAFFIRMATION","Feb. 16, 1985","1985"
"808","FOOD FROM MY EARTH","Feb. 20, 1985","1985"
"809","SONS","Feb. 24, 1985","1985"
"810","CONFLICT","Feb. 27, 1985","1985"
"811","PLANNING","Mar. 02, 1985","1985"
"812","TIME","Mar. 06, 1985","1985"
"813","THE HOLY SPIRIT","Mar. 08, 1985","1985"
"814","ARE YOU A MYSTIC?","Mar. 09, 1985","1985"
"815","DEATH","Mar. 12, 1985","1985"
"816","EASTER","Mar. 16, 1985","1985"
"817","OPPORTUNITIES","Mar. 20, 1985","1985"
"818","FEARFUL THOUGHTS","Mar. 23, 1985","1985"
"819","NOTHING IS THE GOAL","Mar. 29, 1985","1985"
"820","BEHAVIOR AND GRACE","Mar. 30, 1985","1985"
"821","ABRAHAM AND ISAAC","Apr. 04, 1985","1985"
"822","RISEN FROM WHAT?","Apr. 07, 1985","1985"
"823","HUMAN/SPIRITUAL INTERACTION, AGAIN","Apr. 12, 1985","1985"
"824","AN EXPERIENCE IN LIVING","Apr. 14, 1985","1985"
"825","ELDERLY SPIRITS","Apr. 17, 1985","1985"
"826","GLUTTONY","Apr. 18, 1985","1985"
"827","CHRIST, THE SPIRIT","Apr. 19, 1985","1985"
"828","IDOLATRY VS. FAITH","Apr. 20, 1985","1985"
"829","HOLY, HOLY, HOLY","Apr. 26, 1985","1985"
"830","BRAIN AND SPIRIT","May. 05, 1985","1985"
"831","THE EARTH AS GARDEN","May. 08, 1985","1985"
"832","WHAT IS GOD?","May. 14, 1985","1985"
"833","THE SPIRIT SAYS…","May. 18, 1985","1985"
"834","LIFE… AND LIFE… AND LIFE…","May. 26, 1985","1985"
"835","SPIRIT AS TEACHER","May. 27, 1985","1985"
"836","BLESSINGS APLENTY","May. 31, 1985","1985"
"837","VIOLENCE, YET AGAIN","Jun. 02, 1985","1985"
"838","ORDER… AND CHAOS","Jun. 04, 1985","1985"
"839","THE IMPORTANCE OF NOW","Jun. 08, 1985","1985"
"840","THE “BIRTH” OF SPIRIT","Jun. 13, 1985","1985"
"841","SOUNDS OF THE EARTH","Jun. 16, 1985","1985"
"842","DOGMA","Jun. 19, 1985","1985"
"843","ARMAGEDDON","Jun. 21, 1985","1985"
"844","A RIVER BETWEEN BANKS","Jun. 23, 1985","1985"
"845","MUST I REPEAT?","Jun. 26, 1985","1985"
"846","DON’T FORGET… STORIES","Jun. 28, 1985","1985"
"847","COMMITMENT","Jul. 01, 1985","1985"
"848","INDEPENDENCE","Jul. 04, 1985","1985"
"849","HEALING","Jul. 06, 1985","1985"
"850","DEVELOPMENT OF SPIRIT","Jul. 09, 1985","1985"
"851","“DON’T KNOW”","Jul. 12, 1985","1985"
"852","HEALTH IS “OF OLD”","Jul. 14, 1985","1985"
"853","HUNGER","Jul. 19, 1985","1985"
"854","PATIENCE, O SON","Jul. 23, 1985","1985"
"855","SUMMER AS A SPIRITUAL SEASON","Jul. 27, 1985","1985"
"856","LOVE AND GRACE… MY BEST","Jul. 29, 1985","1985"
"857","THE LORD DOTH WATCH OVER …","Aug. 04, 1985","1985"
"858","“MENTAL HEALTH” AND SPIRIT","Aug. 06, 1985","1985"
"859","PRAYER IN PUBLIC","Aug. 09, 1985","1985"
"860","THE POWER OF NON-VIOLENCE","Aug. 14, 1985","1985"
"861","GREED AND SPIRIT","Aug. 15, 1985","1985"
"862","LIFE AS SPIRITUAL STORY","Aug. 19, 1985","1985"
"863","HANDICAPS AND SPIRIT","Aug. 21, 1985","1985"
"864","AN UPDATE ON FUN AND HUMOR","Aug. 23, 1985","1985"
"865","SENIORITY","Aug. 30, 1985","1985"
"866","BLOOD GIVING","Sep. 01, 1985","1985"
"867","ALTERING CONSCIOUSNESS","Sep. 03, 1985","1985"
"868","CONTEMPLATION","Sep. 08, 1985","1985"
"869","THE NATURAL RHYTHM OF ENTHUSIASM","Sep. 11, 1985","1985"
"870","SHARING STORIES","Sep. 14, 1985","1985"
"871","DEATH… AND ONGOING LIFE","Sep. 17, 1985","1985"
"872","FUN IN THE SUN","Sep. 19, 1985","1985"
"873","“TAKE TIME TO BE HOLY”","Sep. 22, 1985","1985"
"874","RESPONSIBILITIES","Sep. 26, 1985","1985"
"875","MUSIC IN THE AIR","Sep. 28, 1985","1985"
"876","AN ADVENTURE IN WISCONSIN","Oct. 06, 1985","1985"
"877","HELP WITH A PRESENTATION","Oct. 09, 1985","1985"
"878","LOVE IS THE RESULT","Oct. 11, 1985","1985"
"879","TEMPER","Oct. 17, 1985","1985"
"880","A DAY AT CHURCH","Oct. 21, 1985","1985"
"881","THE BODY HEALS ITSELF","Oct. 23, 1985","1985"
"882","A CONTINUING WORD ON DEATH","Oct. 27, 1985","1985"
"883","DID, TOOK, ARE","Nov. 01, 1985","1985"
"884","GRACE, YET AGAIN","Nov. 02, 1985","1985"
"885","CATCHING UP","Nov. 10, 1985","1985"
"886","SEEKING FOOD","Nov. 11, 1985","1985"
"887","I SAY AGAIN, SPIRIT IN TEACHING","Nov. 15, 1985","1985"
"888","BOLDNESS","Nov. 17, 1985","1985"
"889","TIME","Nov. 20, 1985","1985"
"890","NON-TRADITIONAL THOUGHT","Nov. 23, 1985","1985"
"891","TELEVISION","Nov. 25, 1985","1985"
"892","A TIME FOR THANKS","Nov. 28, 1985","1985"
"893","EXCLUSION","Dec. 06, 1985","1985"
"894","A DAY IN TIME","Dec. 07, 1985","1985"
"895","PRODUCTIVITY","Dec. 08, 1985","1985"
"896","SHARING THE FAITH","Dec. 14, 1985","1985"
"897","AN “UPDATE” ON JOHN","Dec. 15, 1985","1985"
"898","SPIRIT ON THE RUN","Dec. 20, 1985","1985"
"899","SPIRIT IN A NATURAL PLACE","Dec. 21, 1985","1985"
"900","FAMILIES","Jan. 04, 1986","1986"
"901","A CONFLICT","Jan. 07, 1986","1986"
"902","HOMOSEXUALITY","Jan. 09, 1986","1986"
"903","TERRORISM","Jan. 10, 1986","1986"
"904","IS IT RELIGIOUS?","Jan. 12, 1986","1986"
"905","WHY DO YOU DO THIS?","Jan. 16, 1986","1986"
"906","OF HOSPICE I APPROVE","Jan. 20, 1986","1986"
"907","WORLD VIEW OF THE HOLY SPIRIT","Jan. 22, 1986","1986"
"908","STRESS","Jan. 25, 1986","1986"
"909","DEATH… “ON THE WAY”","Jan. 29, 1986","1986"
"910","ANOTHER CONFLICT","Feb. 03, 1986","1986"
"911","WHAT’S GOOD?  WHAT’S BAD?","Feb. 07, 1986","1986"
"912","RELATIONSHIPS","Feb. 09, 1986","1986"
"913","A REASSESSMENT","Feb. 13, 1986","1986"
"914","JEREMIAH","Feb. 19, 1986","1986"
"915","DRUNKEN BEHAVIOR","Feb. 22, 1986","1986"
"916","YOUR DISABILITY","Feb. 26, 1986","1986"
"917","THE SPIRIT OF FUN","Mar. 01, 1986","1986"
"918","LIFE AND HEALTH","Mar. 04, 1986","1986"
"919","LENT","Mar. 06, 1986","1986"
"920","LOVE, YET AGAIN","Mar. 10, 1986","1986"
"921","RELATIONSHIPS","Mar. 12, 1986","1986"
